produto;departamento;variante;sku;caixa/peso;origem do dado;preco (R$)
Rosca de Côco;petit-four;;972;Caixa 2 kg;Amanteigados;
Rosca de Flocos;petit-four;;973;Caixa 2 kg;Amanteigados;
Rosca de Leite;petit-four;;974;Caixa 2 kg;Amanteigados;
Rosca Nata;petit-four;;976;Caixa 2 kg;Amanteigados;
Rosca de Milho com Erva Doce;petit-four;;975;Caixa 2 kg;Amanteigados;
Colorado;petit-four;;924;Caixa 2 kg;Amanteigados;
Bambolê;petit-four;;903;Caixa 2 kg;Amanteigados;
Girassol;petit-four;;901;Caixa 2 kg;Amanteigados;
Cookies de Chocolate com Linhaça;petit-four;;926;Caixa 2 kg;Amanteigados;
Cookies de Castanha de Caju com Linhaça;petit-four;;925;Caixa 2 kg;Amanteigados;
Palmier;petit-four;;955;Caixa 2 kg;Amanteigados;
Palmier com Canela;petit-four;;956;Caixa 2 kg;Amanteigados;
Champanhota de Canela;petit-four;;920;Caixa 2 kg;Amanteigados;
Champanhota de Côco;petit-four;;921;Caixa 2 kg;Amanteigados;
Beliscão;petit-four;;910;Caixa 2 kg;Amanteigados Recheados;
Gravatinha;petit-four;;932;Caixa 2 kg;Amanteigados Recheados;
Uga-uga;petit-four;;993;Caixa 2 kg;Amanteigados Recheados;
Bambolê Recheado;petit-four;;904;Caixa 2 kg;Amanteigados Recheados;
Florzinha Goiabinha;petit-four;;931;Caixa 2 kg;Amanteigados Recheados;
Beijinho de Freira;petit-four;;909;Caixa 2 kg;Amanteigados Recheados;
Casadinho;petit-four;;917;Caixa 2 kg;Amanteigados Recheados;
Coração;petit-four;;927;Caixa 2 kg;Amanteigados Recheados;
Choconata;petit-four;;923;Caixa 2 kg;Amanteigados Recheados;
Romeu e Julieta;petit-four;;970;Caixa 2 kg;Amanteigados Recheados;
Biscoito de Polvilho;petit-four;Bolinha Tradicional;959, 965;Caixa 2 kg (por variante);Salgados;
Biscoito de Polvilho;petit-four;Bolinha de Queijo;959, 965;Caixa 2 kg (por variante);Salgados;
Biscoito de Polvilho (cód. 961/960);petit-four;Argola Tradicional;961, 960;Caixa 2 kg (por variante);Salgados;
Biscoito de Polvilho (cód. 961/960);petit-four;Argola Doce;961, 960;Caixa 2 kg (por variante);Salgados;
Biscoito de Polvilho Palito Palito Tradicional Palito Queijo;petit-four;;962, 966;Caixa 2 kg;Salgados;
Biscoito Papa Ovo;petit-four;;958;Caixa 4 kg;Salgados;
Biscoito de Polvilho Parmesão com Chia;petit-four;;964;Caixa 2 kg;Salgados;
Biscoito de Polvilho Tradicional com Chia;petit-four;;963;Caixa 2 kg;Salgados;
Torradinha de Queijo;petit-four;;990;Caixa 2 kg;Salgados;
Torradinha de Alho;petit-four;;988;Caixa 2 kg;Salgados;
Torradinha de Cebola;petit-four;;989;Caixa 2 kg;Salgados;
Torreadinha de Parmesão;petit-four;;991;Caixa 2 kg;Salgados;
Disquinho;petit-four;;928;Caixa 2 kg;Salgados;
Rosquinha de Cebola;petit-four;;979;Caixa 1.5 kg;Salgados;
Palito Chocolate;petit-four;;953;Caixa 2 kg;Cobertos de;
Palito Chocolate Branco;petit-four;;954;Caixa 4 kg;Cobertos de;
Vaidosa;petit-four;;994;Caixa 2 kg;Cobertos de;
Ouro Branco;petit-four;;951;Caixa 2 kg;Cobertos de;
Prestígio;petit-four;;969;Caixa 2 kg;Cobertos de;
Moreninha Chocoban;petit-four;;922;Caixa 2 kg;Cobertos de;
Pão de Mel;petit-four;;957;Caixa 2 kg;Cobertos de;
Ouro Preto;petit-four;;952;Caixa 2 kg;Cobertos de;
Pontinha;petit-four;;967;Caixa 2 kg;Cobertos de;
Doce de Leite;petit-four;;930;Caixa 3 kg;Cobertos de;
Doce de Leite com Côco;petit-four;;929;Caixa 3 kg;Cobertos de;
Bananinha Cristalizada;petit-four;;905;Caixa 3 kg;Cobertos de;
Tubetes Creme de Avelã com Cacau Barion;petit-four;;992;Caixa 2 kg;Linha Especial;
Serenata;petit-four;;986;Caixa 2 kg;Linha Especial;
Agnus;petit-four;;900;Caixa 3 kg;Linha Especial;
Nutbon;petit-four;;950;Caixa 2 kg;Linha Especial;
Kishow Pistache;petit-four;;934;Caixa 2 kg;Linha Especial;
Kishow;petit-four;;933;Caixa 2 kg;Linha Especial;
Biscoito Café com Creme de Avelã;petit-four;;971;Caixa 2 kg;Linha Especial;
Rosca Nata Diet;petit-four;;977;Caixa 2 kg;Linha Especial;
Rosca Penha;petit-four;;978;Caixa 1.5 kg;Linha Especial;
Biscoito Avelã Massa Cookies;petit-four;;902;Caixa 2 kg;Linha Especial;
Beliscão Folhado;petit-four;;912;Caixa 2 kg;Linha Especial;
Beliscão Lima da Pérsia;petit-four;;935;Caixa 2 kg;Linha Especial;
Cookies de Aveia com Açucar Mascavo;petit-four;;913;Caixa 2 kg;Linha Especial;
Sembei Biju;petit-four;;985;Caixa 3 kg;Linha Especial;
Sembei Amendoim;petit-four;;981;Caixa 3 kg;Linha Especial;
Sembei Gergelim Preto;petit-four;;984;Caixa 3 kg;Linha Especial;
Sembei Gergelim Branco;petit-four;;982;Caixa 3 kg;Linha Especial;
Sembei Gergelim;petit-four;;983;Caixa 3 kg;Linha Especial;
